coc_long,coc_short,coc_name,county
NC-500,500,Winston-Salem/Forsyth Co. CoC,Forsyth
NC-501,501,Asheville/Buncombe Co. CoC,Buncombe
NC-502,502,Durham City and Durham Co. CoC,Durham
NC-503,503,NC Balance of State CoC,Alamance
NC-503,503,NC Balance of State CoC,Alexander
NC-503,503,NC Balance of State CoC,Anson
NC-503,503,NC Balance of State CoC,Beaufort
NC-503,503,NC Balance of State CoC,Bertie
NC-503,503,NC Balance of State CoC,Bladen
NC-503,503,NC Balance of State CoC,Burke
NC-503,503,NC Balance of State CoC,Cabarrus
NC-503,503,NC Balance of State CoC,Caldwell
NC-503,503,NC Balance of State CoC,Camden
NC-503,503,NC Balance of State CoC,Carteret
NC-503,503,NC Balance of State CoC,Caswell
NC-503,503,NC Balance of State CoC,Catawba
NC-503,503,NC Balance of State CoC,Chatham
NC-503,503,NC Balance of State CoC,Cherokee
NC-503,503,NC Balance of State CoC,Chowan
NC-503,503,NC Balance of State CoC,Clay
NC-503,503,NC Balance of State CoC,Columbus
NC-503,503,NC Balance of State CoC,Craven
NC-503,503,NC Balance of State CoC,Currituck
NC-503,503,NC Balance of State CoC,Dare
NC-503,503,NC Balance of State CoC,Davidson
NC-503,503,NC Balance of State CoC,Davie
NC-503,503,NC Balance of State CoC,Duplin
NC-503,503,NC Balance of State CoC,Edgecombe
NC-503,503,NC Balance of State CoC,Franklin
NC-503,503,NC Balance of State CoC,Gates
NC-503,503,NC Balance of State CoC,Graham
NC-503,503,NC Balance of State CoC,Granville
NC-503,503,NC Balance of State CoC,Greene
NC-503,503,NC Balance of State CoC,Halifax
NC-503,503,NC Balance of State CoC,Harnett
NC-503,503,NC Balance of State CoC,Haywood
NC-503,503,NC Balance of State CoC,Henderson
NC-503,503,NC Balance of State CoC,Hertford
NC-503,503,NC Balance of State CoC,Hoke
NC-503,503,NC Balance of State CoC,Hyde
NC-503,503,NC Balance of State CoC,Iredell
NC-503,503,NC Balance of State CoC,Jackson
NC-503,503,NC Balance of State CoC,Johnston
NC-503,503,NC Balance of State CoC,Jones
NC-503,503,NC Balance of State CoC,Lee
NC-503,503,NC Balance of State CoC,Lenoir
NC-503,503,NC Balance of State CoC,Macon
NC-503,503,NC Balance of State CoC,Madison
NC-503,503,NC Balance of State CoC,Martin
NC-503,503,NC Balance of State CoC,McDowell
NC-503,503,NC Balance of State CoC,Montgomery
NC-503,503,NC Balance of State CoC,Moore
NC-503,503,NC Balance of State CoC,Nash
NC-503,503,NC Balance of State CoC,Northampton
NC-503,503,NC Balance of State CoC,Onslow
NC-503,503,NC Balance of State CoC,Pamlico
NC-503,503,NC Balance of State CoC,Pasquotank
NC-503,503,NC Balance of State CoC,Perquimans
NC-503,503,NC Balance of State CoC,Pitt
NC-503,503,NC Balance of State CoC,Polk
NC-503,503,NC Balance of State CoC,Randolph
NC-503,503,NC Balance of State CoC,Richmond
NC-503,503,NC Balance of State CoC,Robeson
NC-503,503,NC Balance of State CoC,Rockingham
NC-503,503,NC Balance of State CoC,Rowan
NC-503,503,NC Balance of State CoC,Rutherford
NC-503,503,NC Balance of State CoC,Sampson
NC-503,503,NC Balance of State CoC,Scotland
NC-503,503,NC Balance of State CoC,Stanly
NC-503,503,NC Balance of State CoC,Stokes
NC-503,503,NC Balance of State CoC,Surry
NC-503,503,NC Balance of State CoC,Swain
NC-503,503,NC Balance of State CoC,Transylvania
NC-503,503,NC Balance of State CoC,Tyrrell
NC-503,503,NC Balance of State CoC,Union
NC-503,503,NC Balance of State CoC,Vance
NC-503,503,NC Balance of State CoC,Warren
NC-503,503,NC Balance of State CoC,Washington
NC-503,503,NC Balance of State CoC,Wayne
NC-503,503,NC Balance of State CoC,Wilson
NC-503,503,NC Balance of State CoC,Yadkin
NC-503,503,NC Balance of State CoC,Person
NC-504,504,Greensboro/High Point CoC,Guilford
NC-505,505,Charlotte/Mecklenburg Co. CoC,Mecklenburg
NC-506,506,"Wilmington/Brunswick, New Hanover, Pender Co. CoC",Brunswick
NC-506,506,"Wilmington/Brunswick, New Hanover, Pender Co. CoC",New Hanover
NC-506,506,"Wilmington/Brunswick, New Hanover, Pender Co. CoC",Pender
NC-507,507,Raleigh/Wake Co. CoC,Wake
NC-509,509,"Gastonia/Cleveland, Gaston and Lincoln Co. CoC",Cleveland
NC-509,509,"Gastonia/Cleveland, Gaston and Lincoln Co. CoC",Gaston
NC-509,509,"Gastonia/Cleveland, Gaston and Lincoln Co. CoC",Lincoln
NC-511,511,Fayetteville/Cumberland Co. CoC,Cumberland
NC-513,513,Chapel Hill/Orange Co. CoC,Orange
NC-516,516,Northwest NC CoC,Ashe
NC-516,516,Northwest NC CoC,Avery
NC-516,516,Northwest NC CoC,Alleghany
NC-516,516,Northwest NC CoC,Mitchell
NC-516,516,Northwest NC CoC,Watauga
NC-516,516,Northwest NC CoC,Wilkes
NC-516,516,Northwest NC CoC,Yancey
