Coc/Region,County,with_hmis@ncceh_data,District
BoS Region 6,Rockingham,TRUE,NA
BoS Region 9,Edgecombe,TRUE,District 1
BoS Region 9,Franklin,TRUE,District 1
BoS Region 9,Halifax,TRUE,District 1
BoS Region 9,Nash,TRUE,District 1
BoS Region 9,Northhampton,TRUE,District 1
BoS Region 9,Vance,TRUE,District 1
BoS Region 9,Warren,TRUE,District 1
BoS Region 10,Greene,TRUE,District 1
BoS Region 10,Wilson,TRUE,District 1
BoS Region 11,Chowan,TRUE,District 1
BoS Region 11,Gates,TRUE,District 1
BoS Region 11,Hertford,TRUE,District 1
BoS Region 11,Pasquotank,TRUE,District 1
BoS Region 11,Perquimans,TRUE,District 1
BoS Region 11,Tyrrell,TRUE,District 1
BoS Region 12,Bertie,TRUE,District 1
BoS Region 12,Martin,TRUE,District 1
BoS Region 12,Pitt,TRUE,District 1
BoS Region 12,Washington,TRUE,District 1
BoS Region 10,Duplin,TRUE,District 3
BoS Region 10,Lenoir,TRUE,District 3
BoS Region 10,Sampson,TRUE,District 3
BoS Region 11,Camden,TRUE,District 3
BoS Region 11,Currituck,TRUE,District 3
BoS Region 11,Dare,TRUE,District 3
BoS Region 11,Hyde,TRUE,District 3
BoS Region 12,Beaufort,TRUE,District 3
BoS Region 13,Carteret,TRUE,District 3
BoS Region 13,Craven,TRUE,District 3
BoS Region 13,Jones,TRUE,District 3
BoS Region 13,Onslow,TRUE,District 3
BoS Region 13,Pamlico,TRUE,District 3
BoS Region 6,Alamance,TRUE,District 4
BoS Region 6,Person,TRUE,District 4
BoS Region 9,Granville,TRUE,District 4
Orange CoC,Durham,TRUE,District 4
Durham CoC,Orange,TRUE,District 4
BoS Region 3,Caldwell,TRUE,District 5
BoS Region 4,Davie,TRUE,District 5
BoS Region 4,Stokes,TRUE,District 5
BoS Region 4,Surry,TRUE,District 5
BoS Region 4,Yadkin,TRUE,District 5
BoS Region 8,Bladen,TRUE,District 7
BoS Region 8,Columbus,TRUE,District 7
BoS Region 8,Robeson,TRUE,District 7
BoS Region 5,Davidson,TRUE,District 8
BoS Region 5,Rowan,TRUE,District 8
BoS Region 5,Stanly,TRUE,District 8
BoS Region 5,Union,TRUE,District 8
BoS Region 7,Anson,TRUE,District 8
BoS Region 7,Montgomery,TRUE,District 8
BoS Region 7,Richmond,TRUE,District 8
BoS Region 6,Chatham,TRUE,District 9
BoS Region 7,Hoke,TRUE,District 9
BoS Region 7,Lee,TRUE,District 9
BoS Region 7,Moore,TRUE,District 9
BoS Region 7,Randolph,TRUE,District 9
BoS Region 8,Scotland,TRUE,District 9
BoS Region 2,Rutherford,TRUE,District 10
BoS Region 3,Alexander,TRUE,District 10
BoS Region 3,Burke,TRUE,District 10
BoS Region 3,Catawba,TRUE,District 10
BoS Region 4,Iredell,TRUE,District 10
BoS Region 1,Cherokee,TRUE,District 11
BoS Region 1,Clay,TRUE,District 11
BoS Region 1,Graham,TRUE,District 11
BoS Region 1,Haywood,TRUE,District 11
BoS Region 1,Jackson,TRUE,District 11
BoS Region 1,Macon,TRUE,District 11
BoS Region 1,Madison,TRUE,District 11
BoS Region 1,Swain,TRUE,District 11
BoS Region 2,Henderson,TRUE,District 11
BoS Region 2,Polk,TRUE,District 11
BoS Region 2,Transylvania,TRUE,District 11
BoS Region 3,McDowell,TRUE,District 11
BoS Region 7,Harnett,TRUE,District 13
BoS Region 7,Johnston,TRUE,District 13
BoS Region 10,Wayne,TRUE,District 13
