County,Region
Alamance,Region 6
Alexander,Region 3
Anson,Region 7
Beaufort,Region 12
Bertie,Region 12
Bladen,Region 8
Burke,Region 3
Cabarrus,Region 5
Caldwell,Region 3
Camden,Region 11
Carteret,Region 13
Caswell,Region 6
Catawba,Region 3
Chatham,Region 6
Cherokee,Region 1
Chowan,Region 11
Clay,Region 1
Columbus,Region 8
Craven,Region 13
Currituck,Region 11
Dare,Region 11
Davidson,Region 5
Davie,Region 4
Duplin,Region 10
Edgecombe,Region 9
Franklin,Region 9
Gates,Region 11
Graham,Region 1
Granville,Region 9
Greene,Region 10
Halifax,Region 9
Harnett,Region 7
Haywood,Region 1
Henderson,Region 2
Hertford,Region 11
Hoke,Region 7
Hyde,Region 12
Iredell,Region 4
Jackson,Region 1
Johnston,Region 7
Jones,Region 13
Lee,Region 7
Lenoir,Region 10
Macon,Region 1
Madison,Region 1
Martin,Region 12
Mcdowell,Region 3
McDowell,Region 3
Montgomery,Region 7
Moore,Region 7
Nash,Region 9
Northampton,Region 9
Onslow,Region 13
Pamlico,Region 13
Pasquotank,Region 11
Perquimans,Region 11
Person,Region 6
Pitt,Region 12
Polk,Region 2
Randolph,Region 7
Richmond,Region 7
Robeson,Region 8
Rockingham,Region 6
Rowan,Region 5
Rutherford,Region 2
Sampson,Region 10
Scotland,Region 8
Stanly,Region 5
Stokes,Region 4
Surry,Region 4
Swain,Region 1
Transylvania,Region 2
Tyrrell,Region 11
Union,Region 5
Vance,Region 9
Warren,Region 9
Washington,Region 12
Wayne,Region 10
Wilson,Region 10
Yadkin,Region 4
